From;To;ReplType
;UNNAMED;synonym
AVALANCE;AVALANCHE;correction
BLOWING SNOW;BLIZZARD;synonym
BRUSH FIRE;WILDFIRE;synonym
COASTAL SURGE;STORM SURGE TIDE;synonym
COASTALSTORM;COASTAL STORM;correction
DRY MICROBURST WIND;DRY MICROBURST;synonym
EROSION CSTL FLOOD;COASTAL FLOOD EROSION;correction
EXTREME COLD;EXTREME COLD WIND CHILL;synonym
EXTREME WINDCHILL;EXTREME COLD WIND CHILL;synonym
FLASH FLOOD FLOOD;FLASH FLOOD;correction
FLASH FLOOD FROM ICE JAM;ICE JAM FLOOD;correction
FLASH FLOOD THUNDERSTORM WI;FLASH FLOOD THUNDERSTORM WIND;correction
FLOOD FLASH;FLASH FLOOD;correction
FLOOD FLASH FLOOD;FLASH FLOOD;correction
FLOOD FLASHFLOOD;FLASH FLOOD;correction
FLOOD RIVER FLOOD;FLOOD;correction
FLOODING;FLOOD;general
FOREST FIRE;WILDFIRE;synonym
FREEZE;FROST FREEZE;synonym
FREEZING RAIN;SLEET;synonym
FROST;FROST FREEZE;synonym
GRAS FIRE;WILDFIRE;synonym
GROUND BLIZZARD;BLIZZARD;correction
GUSTY WIND HVY RAIN;GUSTY WIND HEAVY RAIN;correction
HAIL DAMAGE;HAIL;correction
HAILSTORM;HAIL;synonym
HARD FREEZE;FROST FREEZE;synonym
HAZARDOUS SURF;HIGH SURF;synonym
HEAVY SNOW SQUALL;BLIZZARD;synonym
HEAVY SURF HIGH SURF;HIGH SURF;correction
HIGH SQUALL;HIGH WIND;synonym
HIGH SWELL;HIGH SURF;synonym
HIGH WAVE;HIGH SURF;synonym
HIGH WIND DAMAGE;HIGH WIND;correction
HURRICANE EDOUARD;HURRICANE;correction
HURRICANE EMILY;HURRICANE;correction
HURRICANE ERIN;HURRICANE;correction
HURRICANE FELIX;HURRICANE;correction
HURRICANE GORDON;HURRICANE;correction
HURRICANE HURRICANE;HURRICANE;correction
HURRICANE OPAL;HURRICANE;correction
HURRICANE OPAL HIGH WIND;HURRICANE HIGH WIND;correction
HVY RAIN;HEAVY RAIN;correction
ICE JAM FLOOD;ICE JAM FLOOD;correction
ICE JAM FLOOD MINOR;ICE JAM FLOOD;correction
ICE ON ROAD;ICY ROAD;correction
ICE ROAD;ICY ROAD;correction
LAKE FLOOD;LAKESHORE FLOOD;correction
LATE SEASON SNOW;SNOW;synonym
LIGHT FREEZING RAIN;SLEET;synonym
LIGHT SNOWFALL;LIGHT SNOW;synonym
LIGHTING;LIGHTNING;correction
LIGHTNING FIRE;LIGHTNING;correction
LIGHTNING INJURY;LIGHTNING;correction
LIGHTNING THUNDERSTORM WIN;LIGHTNING THUNDERSTORM WIND;correction
LIGHTNING WAUSEON;LIGHTNING;correction
LIGNTNING;LIGHTNING;correction
LOW TEMPERATURE;COLD WIND CHILL;synonym
MAJOR FLOOD;FLOOD;correction
MARINE MISHAP;MARINE ACCIDENT;synonym
MICROBURST WIND;MICROBURST;synonym
MINOR FLOOD;FLOOD;correction
MIXED PERCIP;MIXED PERCIPITATION;correction
MUD SLIDE;LANDSLIDE;synonym
MUD SLIDEURBAN FLOOD;MUD SLIDE URBAN FLOOD;correction
MUDSLIDE;LANDSLIDE;synonym
